title,characters,url,Production code,Season №,Episode №,Airdate,U.S. premiere time (ET),Copyright year,U.S. viewers (millions),Running time,Sister episode(s),Writer(s),Storyboard Artist(s),Storyboard,Animation,Creative,Next,Previous,Guest(s),Supervising,Line Producer,Main,Supervising Producer(s),Technical,Animation Supervisor
House Sittin' for Sandy,"['SpongeBob SquarePants', 'Sandy Cheeks', 'Patrick Star', 'Gary the Snail', 'Eugene H. Krabs', 'Shelley', ""Sandy's robots""]",https://spongebob.fandom.com/wiki/House_Sittin%27_for_Sandy,268-823,8,165a,"September 30, 2011",8:00 pm,2011,3.33,11 minutes,"""Smoothe Jazz at Bikini Bottom""","['Aaron Springer', 'Sean Charmatz', 'Derek Iversen']",,Aaron Springer,Alan Smart,Vincent Waller,"""Smoothe Jazz at Bikini Bottom""","""Pet Sitter Pat""",,,,,Paul Tibbitt,,
Smoothe Jazz at Bikini Bottom,"['SpongeBob SquarePants', 'Squidward Tentacles', 'Patrick Star', 'Kelpy G', 'Incidentals', 'Incidental 40', 'Incidental 119', 'Popeye fish', 'Greaser fish', '""Squid"" incidentals', 'Squid man 1', 'Squid man 2', 'Squid man 3', 'Squid woman 4', 'Squid woman 5', 'Squidette', 'Milo J. Fingerfish', 'King Neptune']",https://spongebob.fandom.com/wiki/Smoothe_Jazz_at_Bikini_Bottom,268-826,8,165b,"September 30, 2011",8:15 pm,2011,3.33,11 minutes,"""House Sittin' for Sandy""","['Casey Alexander', 'Zeus Cervas', 'Richard Pursel']",,"['Casey Alexander', 'Zeus Cervas']",Andrew Overtoom,Vincent Waller,"""Bubble Troubles""","""House Sittin' for Sandy""",,,,,Paul Tibbitt,,
Bubble Troubles,"['SpongeBob SquarePants', 'Sandy Cheeks', 'Patrick Star', 'Squidward Tentacles', 'Eugene H. Krabs', 'Pearl Krabs', ""Squidward's bonsai"", 'Incidentals', 'Incidental 105', 'Incidental 63']",https://spongebob.fandom.com/wiki/Bubble_Troubles,268-829,8,166a,"November 25, 2011",8:00 pm,2011,3.28,"11 minutes, 1 second","""The Way of the Sponge""","['Luke Brookshier', 'Marc Ceccarelli', 'Derek Iversen']",,"['Luke Brookshier', 'Marc Ceccarelli']",Andrew Overtoom,Vincent Waller,"""The Way of the Sponge""","""Smoothe Jazz at Bikini Bottom""",,,,,Paul Tibbitt,,
The Way of the Sponge,"['SpongeBob SquarePants', 'Sandy Cheeks', 'Gary the Snail', 'Fuzzy Acorns', 'Squidward Tentacles', 'French Narrator', 'Incidentals', 'Incidental 41', 'Fred', 'Incidental 9', 'Scooter', 'Incidental 28', 'Incidental 13', 'Harold', 'Lenny', 'Incidental 42', 'Incidental 2', 'Incidental 106', 'Incidental 105', 'Incidental 63', 'Incidental 64', 'Incidental 104', 'Incidental 46', 'Incidental 107', 'Incidental 102']",https://spongebob.fandom.com/wiki/The_Way_of_the_Sponge,268-830,8,166b,"November 25, 2011",8:15 pm,2011,3.28,"11 minutes, 1 second","""Bubble Troubles""","['Casey Alexander', 'Zeus Cervas', 'Derek Iversen', 'Doug Lawrence (American TV airings)', 'Andrew Goodman']",,"['Casey Alexander', 'Zeus Cervas']",Tom Yasumi,Vincent Waller,"""The Krabby Patty That Ate Bikini Bottom""","""Bubble Troubles""",Rich Fulcher as Fuzzy Acorns,,,,Paul Tibbitt,,
The Krabby Patty That Ate Bikini Bottom,"['SpongeBob SquarePants', 'Patrick Star', 'Squidward Tentacles', 'Eugene H. Krabs', 'Sandy Cheeks', 'Sheldon J. Plankton', 'Gary the Snail', 'Giant Krabby Patty', 'Incidentals', 'Dale', 'Incidental 107', 'Incidental 106', 'Incidental 8', 'Incidental 37B', 'Fred', 'Incidental 40', 'Incidental 41', 'Lenny', 'Harris', 'Putzy', 'Incidental 103', 'Incidental 64', 'Incidental 105', 'Incidental 63', 'Incidental 7', 'Harold', 'Incidental 14', 'Incidental 60', 'Incidental 45', 'Incidental 49', 'Incidental 152', 'Incidental 102', 'Friendly lady', 'Snookiems', 'King Neptune', 'Krusty Krab cash register', 'Gordon Plankton', 'Puzzle cube']",https://spongebob.fandom.com/wiki/The_Krabby_Patty_That_Ate_Bikini_Bottom,268-828,8,167a,"November 25, 2011",8:30 pm,2011,3.27,11 minutes,"""Bubble Buddy Returns""","['Aaron Springer', 'Dani Michaeli']",,Aaron Springer,Alan Smart,Vincent Waller,"""Bubble Buddy Returns""","""The Way of the Sponge""",,,,,Paul Tibbitt,,
Bubble Buddy Returns,"['SpongeBob SquarePants', 'Bubble Buddy', 'Shiny Bubble', 'Squidward Tentacles', 'Ernest Borgnine', 'Eugene H. Krabs', 'Gary the Snail', 'Patrick Star', 'Ted', 'Incidentals', 'Incidental 115', 'Old Man Walker', 'Incidental 7', 'Harold', 'Incidental 37A', 'Incidental 63', 'Incidental 40', 'Incidental 45', 'Putzy', 'Incidental 41', 'Incidental 47', 'Incidental 107', 'Incidental 92', 'Incidental 64', 'Incidental 60', 'Harris', 'Greaser fish', 'Bikini Bottom Pillow Foundry', 'King Neptune']",https://spongebob.fandom.com/wiki/Bubble_Buddy_Returns,268-824,8,167b,"November 25, 2011",8:45 pm,2011,3.27,11 minutes,"""The Krabby Patty That Ate Bikini Bottom""","['Luke Brookshier', 'Marc Ceccarelli', 'Doug Lawrence']",,"['Luke Brookshier', 'Marc Ceccarelli']",Alan Smart,Vincent Waller,"""Restraining SpongeBob""","""The Krabby Patty That Ate Bikini Bottom""",Brad Abrell as Bubble Buddy,,,,Paul Tibbitt,,
Restraining SpongeBob,"['SpongeBob SquarePants', 'Squidward Tentacles', 'Patrick Star', 'Eugene H. Krabs', 'Incidentals', 'Incidental 40', 'Incidental 105', 'Fred', 'Incidental 49', 'Incidental 63', 'Incidental 45', 'Incidental 42', 'Incidental 37A', 'French Narrator', ""Squidward's lawyers""]",https://spongebob.fandom.com/wiki/Restraining_SpongeBob,"['268-814a', '268-814b']",8,168a,"April 2, 2012",5:00 pm,2012,2.04,"10 minutes, 54 seconds","""Fiasco!""","['Sean Charmatz', 'Vincent Waller', 'Paul Tibbitt']",,"['Sean Charmatz', 'Vincent Waller']",Tom Yasumi,Vincent Waller,"""Fiasco!""","""Bubble Buddy Returns""",,,,,Paul Tibbitt,,
Fiasco!,"['SpongeBob SquarePants', 'Squidward Tentacles', 'Patrick Star', 'Eugene H. Krabs', 'Sheldon J. Plankton', 'Gary the Snail', 'Fiasco', 'Farfel Bainbridge', 'Incidentals', 'Incidental 41', 'Incidental 27', 'Incidental 7', 'Incidental 46', 'Incidental 42', 'Incidental 37A', 'Dale', 'Incidental 49', 'Scooter', 'Incidental 118', 'Tom', 'Incidental 8', 'Incidental 13', 'Incidental 11', 'Incidental 12', 'Incidental 16', 'Incidental 37B', 'Incidental 91', 'Incidental 48', 'Incidental 60', 'Harris', 'Incidental 49', 'Incidental 152', 'Fred', 'Incidental 45', 'Incidental 92', 'Incidental 14', 'Incidental 107', 'Incidental 20', 'Charlie', 'Incidental 67', 'Incidental 17', 'Incidental 3', 'Incidental 68', 'Incidental 10', 'Incidental 21', 'Frank', 'Incidental 2', 'Incidental 9', 'Incidental 63', 'Carol', 'Incidental 31', 'Harold', 'Incidental 153', 'Billy', 'Don the Whale', 'Incidental 69', 'Incidental 81', 'Incidental 47', 'Incidental 39', 'Incidental 18', 'Steven', 'Incidental 105', 'Incidental 103', 'Incidental 40', 'Cop', 'King Neptune']",https://spongebob.fandom.com/wiki/Fiasco!,268-834,8,168b,"April 5, 2012",5:00 pm,2012,1.69,11 minutes,"""Restraining SpongeBob""","['Casey Alexander', 'Zeus Cervas', 'Doug Lawrence']",,"['Casey Alexander', 'Zeus Cervas']",Tom Yasumi,Vincent Waller,"""Are You Happy Now?""","""Restraining SpongeBob""",,,,,Paul Tibbitt,,
Are You Happy Now?,"['SpongeBob SquarePants', 'Squidward Tentacles', 'Patrick Star', 'Gary the Snail', 'French Narrator', 'Fiasco', 'Curator', 'Incidentals', 'Sandals', 'Harris', 'Incidental 41', 'Incidental 63', 'Billy Fishkins', 'Incidental 92', 'Tom', 'Fred', 'Incidental 106', 'Incidental 27', 'Billy', 'Incidental 104', 'Incidental 64', 'Incidental 47', 'Steven', 'Incidental 45', 'Incidental 37B', 'Frank', 'Incidental 115', 'Incidental 48', 'Incidental F8', 'Teen 3', 'Incidental 16', 'Incidental 40', 'Incidental 154', ""Squidward's scallop""]",https://spongebob.fandom.com/wiki/Are_You_Happy_Now%3F,268-833,8,169a,"March 31, 2012",10:00 am,2012,4.12,11 minutes,"""Planet of the Jellyfish""","['Luke Brookshier', 'Marc Ceccarelli', 'Dani Michaeli']",,"['Luke Brookshier', 'Marc Ceccarelli']",Andrew Overtoom,Vincent Waller,"""Planet of the Jellyfish""","""Fiasco!""",,,,,Paul Tibbitt,,
Planet of the Jellyfish,"['SpongeBob SquarePants', 'Sandy Cheeks', 'Patrick Star', 'Eugene H. Krabs', 'Squidward Tentacles', 'Gary the Snail', 'French Narrator', 'Jellyfish', 'Jelliens', 'Jellien leader', 'Incidentals', 'Incidental 37B', 'Dale', 'Troutenheimer', 'Incidental 64', 'Incidental 42', 'Incidental 63', 'Incidental 37A', 'Incidental 41', 'Billy', 'Incidental 27', 'Incidental 45', 'Incidental 40', 'Tom', 'Incidental 49', 'Incidental 60', 'Harris', 'Incidental 107', 'Incidental 106', 'Incidental 105', 'Frank', 'Jellien clones']",https://spongebob.fandom.com/wiki/Planet_of_the_Jellyfish,268-827,8,169b,"March 31, 2012",10:15 am,2012,4.12,11 minutes,"""Are You Happy Now?""","['Luke Brookshier', 'Marc Ceccarelli', 'Doug Lawrence']",,"['Luke Brookshier', 'Marc Ceccarelli']",Tom Yasumi,Vincent Waller,"""Free Samples""","""Are You Happy Now?""",,,,,Paul Tibbitt,,
Free Samples,"['SpongeBob SquarePants', 'Sheldon J. Plankton', 'Eugene H. Krabs', 'Squidward Tentacles', 'Patrick Star', 'Karen Plankton', 'Billy', 'Betsy Krabs', 'Old Man Jenkins', 'French Narrator', 'Incidentals', 'Incidental 41', 'Incidental 46', 'Frank', 'Incidental 45', 'Incidental 60', 'Incidental 7', 'Incidental 47', 'Incidental 103', 'Incidental 102', 'Dale', 'Fred', 'Incidental 49', 'Billy', 'Incidental 64', 'Incidental 8', 'Incidental 106', 'Incidental 67', 'Incidental 14', 'Incidental 107', 'Incidental 48', 'Incidental 42', 'Incidental 115', 'Incidental 37A', 'Incidental 37B', 'Harris', 'Harold', 'Incidental 31', 'Incidental 13', 'Incidental 17', 'Incidental 92', 'Incidental 153', 'Incidental 9', 'Tom', 'Billy', 'Dodo', 'Incidental 15', 'King Neptune']",https://spongebob.fandom.com/wiki/Free_Samples,268-839,8,170a,"April 6, 2012",5:00 pm,2012,1.67,11 minutes,"""Home Sweet Rubble""","['Casey Alexander', 'Zeus Cervas', 'Dani Michaeli']",,"['Casey Alexander', 'Zeus Cervas']",Andrew Overtoom,Vincent Waller,"""Home Sweet Rubble""","""Planet of the Jellyfish""",,,,,Paul Tibbitt,,
Home Sweet Rubble,"['SpongeBob SquarePants', 'Patrick Star', 'Beard', 'Eugene H. Krabs', 'Sandy Cheeks', 'Squidward Tentacles', 'Gary the Snail', 'Incidentals', 'Incidental 106', 'Incidental 9', 'Lenny', 'Incidental 92', 'Incidental 47', 'Dale', 'Billy', 'Incidental 31', 'Incidental 49', 'Incidental 45', 'Incidental 85', 'Incidental 42', 'Frank', 'Shelley']",https://spongebob.fandom.com/wiki/Home_Sweet_Rubble,268-843,8,170b,"April 4, 2012",5:00 pm,2012,2.40,"10 minutes, 52 seconds","""Free Samples""","['Casey Alexander', 'Zeus Cervas', 'Richard Pursel']",,"['Casey Alexander', 'Zeus Cervas']",Andrew Overtoom,Vincent Waller,"""Karen 2.0""","""Free Samples""",,,,,Paul Tibbitt,,
Karen 2.0,"['SpongeBob SquarePants', 'Karen Plankton', 'Eugene H. Krabs', 'Sheldon J. Plankton', 'Squidward Tentacles', 'Karen 2', 'Incidentals', 'Dale', 'Incidental 7', 'Incidental 106', 'Incidental 45', 'Incidental 9', 'Incidental 42', 'Incidental 107', 'Incidental 49', 'Incidental 48', 'Incidental 63', 'Carol', 'Incidental 8', 'John', 'Frank', 'Incidental 41', 'Putzy', 'Charlie', 'Incidental 40', 'Incidental 13', 'Incidental 2', 'Incidental 67', 'Incidental 68', 'Troutenheimer', 'Incidental 92', 'Steven', 'Incidental 102', 'Incidental 64', 'Incidental 60', 'Incidental 47', 'Incidental 7', 'Incidental 37A', 'Tom', 'Harris', 'Incidental 14', 'Old Man Walker', 'Incidental 152', 'Incidental 103', 'Incidental 27', 'Incidental 12', 'Incidental 10', 'Incidental 157']",https://spongebob.fandom.com/wiki/Karen_2.0,268-846,8,171a,"April 13, 2012",5:00 pm,2012,2.25,11 minutes,"""InSPONGEiac""","['Casey Alexander', 'Zeus Cervas', 'Richard Pursel']",,"['Casey Alexander', 'Zeus Cervas']",Alan Smart,Vincent Waller,"""InSPONGEiac""","""Home Sweet Rubble""",,,,,Paul Tibbitt,,
InSPONGEiac,"['SpongeBob SquarePants', 'Eugene H. Krabs', 'Patrick Star', 'Gary the Snail', 'Squidward Tentacles', 'Frank', 'Maw Tucket', 'Sir Cecil', 'Warm milk', 'King Neptune']",https://spongebob.fandom.com/wiki/InSPONGEiac,268-837,8,171b,"April 9, 2012",5:00 pm,2012,2.02,"11 minutes, 1 second","""Karen 2.0""","['Casey Alexander', 'Zeus Cervas', 'Doug Lawrence']",,"['Casey Alexander', 'Zeus Cervas']",Alan Smart,Vincent Waller,"""Face Freeze!""","""Karen 2.0""",,,,,Paul Tibbitt,,
Face Freeze!,"['SpongeBob SquarePants', 'Patrick Star', 'Eugene H. Krabs', 'Squidward Tentacles', 'Sandy Cheeks', 'Gary the Snail', 'Scallop', 'Incidentals', 'Fred', 'Incidental 49', 'Incidental 103', 'Incidental 107', 'Incidental 82', 'Incidental 104', 'Tom', 'Incidental 64', 'Putzy', 'Incidental 67', 'Incidental 41', 'Incidental 42', 'Scooter', 'Frank', 'Harold', 'Incidental 37A', 'Incidental 106', 'Incidental 8', 'Sandals', 'Incidental 45', 'Incidental 37B', 'Incidental 40', 'Incidental 48', 'Teen 15', ""Teen 15's boyfriend""]",https://spongebob.fandom.com/wiki/Face_Freeze!,268-848,8,172a,"June 30, 2012",8:45 pm,2012,3.65,"10 minutes, 59 seconds","""Glove World R.I.P.""","['Casey Alexander', 'Zeus Cervas', 'Doug Lawrence']",,"['Casey Alexander', 'Zeus Cervas']",Andrew Overtoom,Vincent Waller,"""Glove World R.I.P.""","""InSPONGEiac""",,,,,Paul Tibbitt,,
Glove World R.I.P.,"['SpongeBob SquarePants', 'Patrick Star', 'Gary the Snail', 'Glove World! owner', 'Incidentals', 'Incidental 107', 'Harold', 'Incidental 40', 'Incidental 48', 'Incidental 104', 'Incidental 37A', 'Putzy', 'Incidental 42', 'Incidental 37B', 'Incidental 92', 'Billy', 'Incidental 106', 'Incidental 41', 'Old Man Walker', 'Incidental 67', 'Sandals', 'Steven', 'Incidental 60', 'Incidental 14', 'Incidental 45', 'Frank', 'Incidental 7', 'Incidental 9', 'Charlie', 'Incidental 13', 'Dale', 'Incidental 63', 'Fred', 'Troutenheimer', 'Incidental 27', 'Incidental 3', 'Incidental 68', 'Incidental 103', 'Incidental 115', 'Incidental 82', 'Incidental 6', 'Frank', 'Incidental 8', 'Incidental 69', 'Incidental 102', 'Incidental 64', 'Incidental 16', 'Incidental 2', 'Incidental 20', 'Mary', 'Incidental 49', 'Incidental 24', 'Harris', 'Incidental 10', 'Incidental 49', 'Incidental 152', 'Weird lady fish', ""The Bubble Poppin' Boys""]",https://spongebob.fandom.com/wiki/Glove_World_R.I.P.,268-844,8,172b,"April 3, 2012",5:00 pm,2012,2.71,"11 minutes, 1 second","""Face Freeze!""","['Aaron Springer', 'Dani Michaeli']",,Aaron Springer,Tom Yasumi,Vincent Waller,"""Squiditis""","""Face Freeze!""",,,,,Paul Tibbitt,,
Squiditis,"['SpongeBob SquarePants', 'Squidward Tentacles', 'Eugene H. Krabs', 'Grandma SquarePants', 'Jellyfish', 'Scallop', 'Incidentals', 'Incidental 106', 'Frank', 'Incidental 42', 'Incidental 48', 'Incidental 41', 'Incidental 37B', 'Troutenheimer', 'Incidental 37A', 'Billy', 'Harris', 'Incidental 27', 'Incidental 2', 'Incidental 49', 'Incidental 107', 'Harold', 'Incidental 14', 'Incidental 60', 'Incidental 67', 'Dale', 'Incidental 30A', 'Incidental 9', 'Tom', 'Incidental 7', 'Incidental 13', 'Frank', 'Incidental 64', 'Old Man Walker', 'Putzy', 'Incidental 45', 'Incidental 87', 'Incidental 31', 'Incidental 92', 'Incidental 47', 'Judge 3', 'Teen 15', 'King Neptune']",https://spongebob.fandom.com/wiki/Squiditis,268-849,8,173a,"April 11, 2012",5:00 pm,2012,2.27,"11 minutes, 3 seconds","""Demolition Doofus""","['Aaron Springer', 'Derek Iversen']",,Aaron Springer,Tom Yasumi,Vincent Waller,"""Demolition Doofus""","""Glove World R.I.P.""",,,,,Paul Tibbitt,,
Demolition Doofus,"['SpongeBob SquarePants', 'Mrs. Puff', 'Squidward Tentacles', 'Mohawk brute 1', 'Popeye fish', '[1]', 'Captain Lutefisk', 'The Cackling Cruiser', 'Blowtorch', 'The Kruncher', ""Divin' Bell Dale"", 'Lockjaw Jones', 'Incidentals', 'Frank', 'Incidental 107', 'Incidental 116', 'Incidental 20', 'Tom', 'Incidental 40', 'Incidental 8', 'Lenny', 'Troutenheimer', 'Old Man Walker', 'Harold', 'Incidental 41', 'Putzy', 'Incidental 13', 'Incidental 68', 'Dale', 'Incidental 11', 'Incidental 47', 'Incidental 7', 'Scooter', 'Incidental 60', 'Incidental 14', 'Sandals', 'Incidental 31', 'Incidental 9', 'Incidental 37A', 'Incidental 69', 'Incidental 45', 'Incidental 24', 'Incidental 64', 'Incidental 82', 'Incidental 152', 'Incidental 27', 'Stretch', 'Incidental 42', 'Incidental 153', 'Incidental 104', 'Incidental 63', 'Incidental 10', 'Incidental 39', 'Frank', 'Incidental 17', 'Carol', 'John', 'Incidental 9', 'Incidental 151', 'Champ 1', 'Champ 2']",https://spongebob.fandom.com/wiki/Demolition_Doofus,268-845,8,173b,"July 21, 2012",8:30 pm,2012,3.65,"10 minutes, 52 seconds","""Squiditis""","['Luke Brookshier', 'Marc Ceccarelli', 'Derek Iversen']",,"['Luke Brookshier', 'Marc Ceccarelli']",Alan Smart,Vincent Waller,"""Treats!""","""Squiditis""",,,,,Paul Tibbitt,,
Treats!,"['SpongeBob SquarePants', 'Gary the Snail', 'Squidward Tentacles', 'Patrick Star', 'Twitch', 'Incidentals', 'Incidental 40', 'Incidental 48', 'Incidental 41', 'Incidental 64', 'Harold', 'Incidental 45', 'Incidental 107', 'Frank', 'Incidental 60', 'Incidental 37A', 'Tom', 'Incidental 115', 'Incidental 2', 'Incidental 186', 'Unknown ""Viking"" 2', 'Unknown ""Viking"" 3', 'Pet Store', 'Female spokesmodel']",https://spongebob.fandom.com/wiki/Treats!,268-847,8,174a,"April 10, 2012",5:00 pm,2012,2.15,"11 minutes, 3 seconds","""For Here or to Go""","['Aaron Springer', 'Dani Michaeli']",,Aaron Springer,Alan Smart,Vincent Waller,"""For Here or to Go""","""Demolition Doofus""",,,,,Paul Tibbitt,,
For Here or to Go,"['SpongeBob SquarePants', 'Eugene H. Krabs', 'Sheldon J. Plankton', 'Squidward Tentacles', 'Karen Plankton', 'Bogus Business Bureau agents', 'Agent Twirp', 'French Narrator', 'Mermaid Man', 'Incidentals', 'Incidental 20', 'Steven', 'Incidental 42', 'Incidental 41', 'Incidental 49', 'Stretch', 'Incidental 37A', 'Incidental 107', 'Fred', 'Incidental 47', 'Incidental 27', 'John', 'Incidental 3', 'Incidental 31', 'Incidental 48', 'Harris', 'Incidental 92', 'Incidental 40', 'Incidental 104', 'Incidental 7', 'Incidental 16', 'Incidental 13', 'Tom', 'Incidental 9', 'Dale', 'Ted', 'Trucker', 'Patty Laddie', 'Flankton']",https://spongebob.fandom.com/wiki/For_Here_or_to_Go,268-840,8,174b,"April 12, 2012",5:00 pm,2012,2.52,"10 minutes, 55 seconds","""Treats!""","['Luke Brookshier', 'Marc Ceccarelli', 'Steven Banks']",,"['Luke Brookshier', 'Marc Ceccarelli']",Andrew Overtoom,Vincent Waller,"""It's a SpongeBob Christmas!""","""Treats!""",,,,,Paul Tibbitt,,
It's a SpongeBob Christmas!,"['Patchy the Pirate', 'Potty the Parrot', 'SpongeBob SquarePants', 'ToyBob', 'Squidward Tentacles', 'Patrick Star', 'Eugene H. Krabs', 'Sheldon J. Plankton', 'Karen Plankton', 'Sandy Cheeks', 'Mrs. Puff', 'Pearl Krabs', 'Gary the Snail', 'Santa Claus', 'Elves', 'Carolers', 'Mr. Mailman', 'Polar bear', 'Fake Santa', 'seahorse', 'Frankie', 'Johnny', 'Tiger', 'Incidentals', 'Incidental 83A', 'Incidental 159']",https://spongebob.fandom.com/wiki/It%27s_a_SpongeBob_Christmas!,"['268-841', '268-842']",8,175,"October 30, 2012","['9:30 pm (CBS)', '8:00 pm (Nickelodeon)']",2012,"['3.63 (CBS)', '4.61 (Nick)']","22 minutes, 21 seconds",,"['Luke Brookshier', 'Marc Ceccarelli', 'Derek Iversen', 'Doug Lawrence']",,"['Luke Brookshier', 'Marc Ceccarelli']",,Vincent Waller,"""Super Evil Aquatic Villain Team Up is Go!""","""For Here or to Go""",John Goodman as Santa Claus,,,"['Mark Caballero', 'Seamus Walsh']",Paul Tibbitt,,Christopher Finnegan
Super Evil Aquatic Villain Team Up is Go!,"['SpongeBob SquarePants', 'Sheldon J. Plankton', 'Man Ray', 'Eugene H. Krabs', 'Squidward Tentacles', 'Mermaid Man', 'Barnacle Boy', 'Ernesto Blindfish', 'Incidentals', 'Incidental 37A', 'Incidental 82', 'Incidental 85', 'Mable', 'Incidental 81', 'Mary', 'Incidental 90', 'Incidental 89', 'Incidental 93', 'Incidental 91', 'Old Man Walker', 'Orderly', 'King Neptune', 'Construction foreman', 'Richard A. Bottomfeeder', 'Grandma', 'Purple old lady', 'Sweet old lady']",https://spongebob.fandom.com/wiki/Super_Evil_Aquatic_Villain_Team_Up_is_Go!,268-836,8,176a,"October 14, 2012",7:49 pm,2012,2.28,"11 minutes, 3 seconds","""Chum Fricassee""","['Aaron Springer', 'Dani Michaeli']",,Aaron Springer,Alan Smart,Vincent Waller,"""Chum Fricassee""","""It's a SpongeBob Christmas!""","['Ernest Borgnine as Mermaid Man', 'Tim Conway as Barnacle Boy', 'Bob Joles as Man Ray']",,,,Paul Tibbitt,,
Chum Fricassee,"['SpongeBob SquarePants', 'Gary the Snail', 'Squidward Tentacles', 'Sheldon J. Plankton', 'Karen Plankton', 'Eugene H. Krabs', 'Granny Tentacles', 'Perch Perkins', 'Fancy guy', 'Fancy dandy fish', 'Incidentals', 'Incidental F6', 'Incidental F1', 'Incidental 63', 'Incidental F14', 'Incidental F4', 'Incidental F18', 'Incidental 30A', 'Incidental 106', 'Incidental F9', 'Incidental F19', 'Incidental F3', 'Incidental 41', 'Incidental 49A', 'Lenny', 'Incidental F11', 'Incidental F12', 'Dale', 'Eugene', 'Incidental 17', 'Incidental 49', 'Incidental 64', 'Incidental 27', 'John', 'Incidental 31', 'Incidental 2', 'Incidental 107', 'Frank', 'Incidental 14', 'Incidental 45', 'Old Man Walker', 'Incidental F5', 'Incidental F8', 'Putzy', 'Incidental 8', 'Incidental 104', 'Incidental 102', 'Incidental 12', 'Sandals', 'Incidental 92', 'Incidental 48', 'Incidental 103', 'Incidental 68', 'Incidental 152', 'Incidental 37B', 'Steven', 'Incidental 30', 'Incidental 47', 'Incidental 40', 'Tom', 'Carol', 'Billy', 'Incidental 150', 'Incidental 7', 'Incidental 42', 'Harris', 'Incidental 60', 'Incidental 21', 'Frank', 'Incidental 67', 'Jethra']",https://spongebob.fandom.com/wiki/Chum_Fricassee,268-850,8,176b,"October 21, 2012",7:49 pm,2012,2.30,"11 minutes, 3 seconds","""Super Evil Aquatic Villain Team Up is Go!""","['Casey Alexander', 'Zeus Cervas', 'Richard Pursel']",,"['Casey Alexander', 'Zeus Cervas']",Tom Yasumi,Vincent Waller,"""The Good Krabby Name""","""Super Evil Aquatic Villain Team Up is Go!""",,Alan Smart,,,Paul Tibbitt,,
The Good Krabby Name,"['SpongeBob SquarePants', 'Patrick Star', 'Eugene H. Krabs', 'Squidward Tentacles', 'Sheldon J. Plankton', 'Incidentals', 'Incidental 41', 'Incidental 64', 'Tom', 'Incidental 106', 'Incidental 118', 'Incidental 60', 'Incidental 2', 'Incidental 49', 'Incidental 37A', 'Steven', 'Putzy', 'Billy', 'Incidental 68', 'Incidental 42', 'Incidental 30', 'Incidental 31', 'Incidental 107', 'Incidental 85', 'Incidental 39', 'Incidental 93', 'Incidental 67', 'Incidental 49', 'Old Man Walker', 'Fred', 'Dale', 'Mary', 'Incidental 40', 'Sandals', 'Incidental 11', 'Incidental 28', 'Incidental 91', 'Incidental 82', 'Incidental 18', 'Incidental 15', 'Incidental 92', 'Dennis', 'Incidental 80', 'Billy', 'Incidental 17', 'Incidental 34', 'Buford', 'Cletus', 'Mailfish']",https://spongebob.fandom.com/wiki/The_Good_Krabby_Name,268-851,8,177a,"September 3, 2012",7:45 pm,2012,3.36,"11 minutes, 3 seconds","""Move It or Lose It""","['Luke Brookshier', 'Marc Ceccarelli', 'Derek Iversen']",,"['Luke Brookshier', 'Marc Ceccarelli']",Alan Smart,Vincent Waller,"""Move It or Lose It""","""Chum Fricassee""",,Alan Smart,,,Paul Tibbitt,,
Move It or Lose It,"['SpongeBob SquarePants', 'Eugene H. Krabs', 'Sheldon J. Plankton', 'Squidward Tentacles', 'Karen Plankton', 'Mrs. Puff', 'Gary the Snail', 'State officer', 'Incidentals', 'Incidental 37B', 'Incidental 41', 'Incidental 48', 'Incidental 27', 'Frank', 'Incidental 42', 'Incidental 27', 'Troutenheimer', 'Incidental 40', 'Incidental 69', 'Incidental 45', 'Sandals', 'Incidental 14', 'Incidental 106', 'Incidental 107', 'Incidental 64', 'Incidental 31', 'Incidental 115', 'Incidental 60', 'Incidental 92', 'Incidental 104', 'Incidental 47', 'Incidental 7', 'Harris', 'Harold', 'Incidental 67', 'Incidental 2', 'Incidental 9', 'Carol', 'Incidental 13', 'Steven', 'Incidental 18', 'Incidental 68', 'Tom', 'Mary', 'Dale', 'Incidental 8', 'Frank', 'Incidental 49', 'Incidental 63', 'Incidental 81', 'Billy', 'Putzy', 'Incidental 12', 'Incidental 37A', 'Joe', 'Incidental 119', 'Three-Headed Jake']",https://spongebob.fandom.com/wiki/Move_It_or_Lose_It,268-838,8,177b,"October 21, 2012",7:33 pm,2012,2.30,11 minutes,"""The Good Krabby Name""","['Casey Alexander', 'Zeus Cervas', 'Doug Lawrence']",,"['Casey Alexander', 'Zeus Cervas']",Andrew Overtoom,Vincent Waller,"""Hello Bikini Bottom!""","""The Good Krabby Name""",,,,,Paul Tibbitt,,
